id,statename,lganame,wardname,urban,landuse,NDVI,processed_date,geometry_x
426789171,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.13745785727236587,2024-03-29,"POLYGON ((6.130387 10.8437391, 6.131079 10.8432491, 6.1316261 10.8441237, 6.130387 10.8437391))"
426789172,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.15286107644191052,2024-03-29,"POLYGON ((6.1318354 10.8443977, 6.1315242 10.8431754, 6.1329351 10.8433229, 6.1330531 10.8445768, 6.1318354 10.8443977))"
426789174,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.15726418104178735,2024-03-29,"POLYGON ((6.1315242 10.8431754, 6.1312989 10.8418108, 6.1328814 10.8424378, 6.1329512 10.8432966, 6.1315242 10.8431754))"
426789175,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.14749174979767418,2024-03-29,"POLYGON ((6.1312989 10.8418108, 6.1344716 10.842145, 6.1343782 10.8434567, 6.1328814 10.8424378, 6.1312989 10.8418108))"
426789176,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.15866840870309484,2024-03-29,"POLYGON ((6.1329543 10.8424874, 6.1349292 10.8436494, 6.1346957 10.8446401, 6.1330519 10.8447869, 6.1329543 10.8424874))"
426789177,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.14773662850391614,2024-03-29,"POLYGON ((6.1330519 10.8447869, 6.1346957 10.8446401, 6.1341209 10.8469275, 6.1329836 10.8460424, 6.1330519 10.8447869))"
426789178,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.17762514098633614,2024-03-29,"POLYGON ((6.132415 10.8465903, 6.1327369 10.8459581, 6.1331982 10.84678, 6.132415 10.8465903))"
426789179,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.1444235597316754,2024-03-29,"POLYGON ((6.130387 10.8437391, 6.1316261 10.8441237, 6.1314395 10.8453754, 6.1303919 10.8449792, 6.130387 10.8437391))"
426789180,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.14470945784701342,2024-03-29,"POLYGON ((6.1314751 10.845137, 6.1321332 10.8452572, 6.1321757 10.8462861, 6.1312696 10.8460984, 6.1314751 10.845137))"
426789181,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.1307071414839438,2024-03-29,"POLYGON ((6.1314233 10.8453794, 6.1312272 10.846154, 6.1304061 10.8462236, 6.1303919 10.8449792, 6.1314233 10.8453794))"
426789182,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.18175378450202595,2024-03-29,"POLYGON ((6.1303988 10.8463646, 6.1314824 10.8466175, 6.1312571 10.8478925, 6.1303827 10.8479083, 6.1303988 10.8463646))"
426789183,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.15532232760590567,2024-03-29,"POLYGON ((6.1303814 10.8436746, 6.1303855 10.842369, 6.1307148 10.8426924, 6.1303814 10.8436746))"
426789186,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.15098172556251865,2024-03-29,"POLYGON ((6.1313361 10.8404758, 6.130381 10.8345871, 6.1349225 10.8333342, 6.1360501 10.8416863, 6.1313361 10.8404758))"
426789191,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.15486719888589548,2024-03-29,"POLYGON ((6.131324 10.8413928, 6.1313361 10.8404758, 6.1332587 10.8407058, 6.1331047 10.8417831, 6.131324 10.8413928))"
426789192,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.2160666351317362,2024-03-29,"POLYGON ((6.1333337 10.8472877, 6.1347767 10.8475774, 6.1315688 10.8478567, 6.1317458 10.847588, 6.1333337 10.8472877))"
426789193,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.1622121034605257,2024-03-29,"POLYGON ((6.1342993 10.8470559, 6.1378486 10.8420892, 6.140463 10.8510968, 6.1348625 10.8485521, 6.1342993 10.8470559))"
426789194,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.13919779128448806,2024-03-29,"POLYGON ((6.1347006 10.8338971, 6.1402557 10.8383753, 6.1384396 10.8440619, 6.1364051 10.8416705, 6.1347006 10.8338971))"
432408906,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.16474542040690326,2024-03-29,"POLYGON ((6.1009302 10.7050393, 6.1043206 10.705544, 6.1036388 10.7089672, 6.1013318 10.7076365, 6.1009302 10.7050393))"
10892339,Lagos,Ojo,Ira,Yes,farmland,0.42732023174345724,2024-03-29,"POLYGON ((3.2099283 6.495889, 3.1993228 6.4841842, 3.2045048 6.469926, 3.207863 6.4637535, 3.2155824 6.4755067, 3.2047972 6.470992, 3.2013396 6.4814922, 3.2175136 6.4760291, 3.2231603 6.4889526, 3.2099283 6.495889))"
