[2024-04-05T15:06:00.277+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: extract_osm_farmland.load_data_tobigquery manual__2024-04-05T15:03:07.267189+00:00 [queued]>
[2024-04-05T15:06:00.300+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: extract_osm_farmland.load_data_tobigquery manual__2024-04-05T15:03:07.267189+00:00 [queued]>
[2024-04-05T15:06:00.302+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 2
[2024-04-05T15:06:00.339+0000] {taskinstance.py:2217} INFO - Executing <Task(_PythonDecoratedOperator): load_data_tobigquery> on 2024-04-05 15:03:07.267189+00:00
[2024-04-05T15:06:00.351+0000] {standard_task_runner.py:60} INFO - Started process 5233 to run task
[2024-04-05T15:06:00.359+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'extract_osm_farmland', 'load_data_tobigquery', 'manual__2024-04-05T15:03:07.267189+00:00', '--job-id', '225', '--raw', '--subdir', 'DAGS_FOLDER/extract_file_data_from_osm.py', '--cfg-path', '/tmp/tmp3q47sd37']
[2024-04-05T15:06:00.362+0000] {standard_task_runner.py:88} INFO - Job 225: Subtask load_data_tobigquery
[2024-04-05T15:07:19.034+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:19.512+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'landuse', 'debugInfo': '', 'message': 'no such field: landuse.'}]}]
[2024-04-05T15:07:20.033+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'landuse', 'debugInfo': '', 'message': 'no such field: landuse.'}]}]
[2024-04-05T15:07:20.564+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'landuse', 'debugInfo': '', 'message': 'no such field: landuse.'}]}]
[2024-04-05T15:07:21.092+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'wardname', 'debugInfo': '', 'message': 'no such field: wardname.'}]}]
[2024-04-05T15:07:21.889+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:22.562+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'statename', 'debugInfo': '', 'message': 'no such field: statename.'}]}]
[2024-04-05T15:07:23.217+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'geo', 'debugInfo': '', 'message': 'no such field: geo.'}]}]
[2024-04-05T15:07:23.791+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'lganame', 'debugInfo': '', 'message': 'no such field: lganame.'}]}]
[2024-04-05T15:07:24.310+0000] {logging_mixin.py:188} INFO - Errors occurred: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'statename', 'debugInfo': '', 'message': 'no such field: statename.'}]}]
